lat,lon,date
27.3835,-82.7375,2024-06-13
27.119,-82.7125,2024-06-14
26.9435,-82.817,2024-06-14
26.6875,-82.8065,2024-06-14
26.6675,-82.6455,2024-06-14
26.8985,-82.671,2024-06-14
26.8965,-82.566,2024-06-14
26.8925,-82.422,2024-06-14
26.7135,-82.4535,2024-06-14
26.502,-82.301,2024-06-14
26.3745,-82.162,2024-06-15
26.0835,-82.028,2024-06-15
25.9815,-82.0325,2024-06-15
25.8515,-82.1285,2024-06-15
25.984,-82.432,2024-06-15
26.2875,-82.549,2024-06-15
26.325,-82.8035,2024-06-15
26.256,-82.9685,2024-06-15
26.2965,-83.0985,2024-06-16
26.0335,-83.2235,2024-06-16
25.6725,-83.088,2024-06-16
25.2985,-83.047,2024-06-16
25.1805,-83.0135,2024-06-16
25.161,-82.803,2024-06-16
25.2305,-82.7095,2024-06-16
25.309,-82.5225,2024-06-16
25.3965,-82.274,2024-06-17
25.335,-82.116,2024-06-17
25.26,-81.981,2024-06-17
25.214,-81.8965,2024-06-17
25.3315,-81.903,2024-06-17
25.481,-81.9525,2024-06-17
25.471,-81.653,2024-06-17
25.2375,-81.6245,2024-06-17
25.021,-81.768,2024-06-17
25.004,-81.962,2024-06-17
29.8575,-87.479,2024-07-26
26.4655,-83.764,2024-07-27
26.4,-83.86,2024-07-28
26.1115,-83.6535,2024-07-28
26.0025,-83.7835,2024-07-28
25.9325,-83.654,2024-07-28
25.8095,-83.696,2024-07-28
25.712,-83.6365,2024-07-28
25.5605,-83.707,2024-07-28
25.4035,-83.621,2024-07-28
25.338,-83.696,2024-07-28
25.2935,-83.4925,2024-07-29
25.129,-83.4345,2024-07-29
24.9895,-83.5445,2024-07-29
24.867,-83.458,2024-07-29
24.7295,-83.132,2024-07-29
24.8335,-82.8955,2024-07-29
24.8695,-82.668,2024-07-29
24.9215,-82.0855,2024-07-29
24.9775,-82.509,2024-07-30
24.9585,-82.633,2024-07-30
24.924,-82.857,2024-07-30
25.0345,-83.117,2024-07-30
25.0835,-83.2705,2024-07-30
25.3085,-83.317,2024-07-30
25.4025,-83.4855,2024-07-30
25.527,-83.3775,2024-07-30
25.7985,-83.561,2024-07-31
25.9705,-83.4755,2024-07-31
26.1465,-83.475,2024-07-31
26.2925,-83.487,2024-07-31
26.3905,-83.5585,2024-07-31
26.4935,-83.411,2024-07-31
30.39,-88.857,2024-07-25
30.39,-88.857,2024-07-25
30.184,-88.6925,2024-06-22
27.423,-83.0185,2024-10-20
27.2465,-82.8985,2024-10-20
27.0395,-82.7985,2024-10-20
26.8295,-82.9115,2024-10-21
26.8395,-82.5625,2024-10-21
26.723,-82.6405,2024-10-21
26.5235,-82.623,2024-10-21
26.1815,-82.538,2024-10-21
26.311,-82.2495,2024-10-21
26.1845,-81.9985,2024-10-21
26.0425,-82.258,2024-10-21
26.0135,-82.1305,2024-10-21
25.785,-82.3405,2024-10-22
25.6445,-82.2,2024-10-22
25.5015,-82.1605,2024-10-22
25.532,-81.853,2024-10-22
25.475,-81.722,2024-10-22
25.1935,-81.6865,2024-10-22
25.047,-81.592,2024-10-22
25.0255,-81.8725,2024-10-22
25.051,-82.066,2024-10-22
24.8015,-82.031,2024-10-23
24.886,-82.3175,2024-10-23
25.09,-82.257,2024-10-23
25.145,-82.4125,2024-10-23
25.38,-82.474,2024-10-23
25.4045,-82.5885,2024-10-23
25.491,-82.766,2024-10-24
25.5625,-82.967,2024-10-24
25.3075,-82.973,2024-10-24
25.102,-83.0215,2024-10-24
25.005,-83.202,2024-10-24
25.007,-83.087,2024-10-24
24.77,-82.73,2024-10-24
24.782,-82.9735,2024-10-24
24.7395,-83.12,2024-10-24
24.6915,-83.363,2024-10-24
24.802,-83.449,2024-10-25
24.9415,-83.756,2024-10-25
25.142,-83.81,2024-10-25
25.1495,-83.5645,2024-10-25
25.1405,-83.354,2024-10-25
25.284,-83.343,2024-10-25
25.3565,-83.4675,2024-10-25
25.5915,-83.716,2024-10-25
25.646,-83.6835,2024-10-25
25.6275,-83.54,2024-10-26
25.958,-83.215,2024-10-26
25.9115,-83.4755,2024-10-26
25.959,-83.7335,2024-10-26
26.0625,-83.738,2024-10-26
26.0735,-83.8305,2024-10-26
26.213,-83.3925,2024-10-26
26.1365,-83.1885,2024-10-26
26.099,-82.96,2024-10-26
26.234,-83.2035,2024-10-27
26.347,-83.2355,2024-10-27
26.4585,-83.5925,2024-10-27
26.3335,-83.7485,2024-10-27
26.6845,-83.9795,2024-10-27
26.8465,-83.7145,2024-10-27
26.818,-83.4875,2024-10-27
26.643,-83.363,2024-10-27
26.5765,-83.1795,2024-10-27
26.7565,-83.009,2024-10-28
26.8445,-83.078,2024-10-28
26.935,-83.1835,2024-10-28
26.9095,-83.4035,2024-10-28
27.0705,-83.664,2024-10-28
27.1855,-83.9025,2024-10-28
27.2185,-84.159,2024-10-28
28.9805,-90.3225,2024-10-13
28.8935,-90.1535,2024-10-13
29.0115,-89.911,2024-10-13
28.9655,-89.686,2024-10-13
28.933,-89.5195,2024-10-13
28.8505,-89.8775,2024-10-13
28.737,-90.176,2024-10-14
28.709,-90.445,2024-10-14
28.482,-90.473,2024-10-14
28.4425,-90.6265,2024-10-14
28.5385,-90.8345,2024-10-14
28.405,-91.014,2024-10-14
28.482,-91.156,2024-10-14
28.5045,-91.2105,2024-10-14
28.4645,-91.262,2024-10-14
28.363,-91.5685,2024-10-14
28.694,-91.708,2024-10-15
28.8785,-92.039,2024-10-15
29.058,-91.8995,2024-10-15
28.949,-91.867,2024-10-15
28.8145,-91.817,2024-10-15
28.776,-91.5225,2024-10-15
28.7465,-91.3125,2024-10-15
28.757,-90.961,2024-10-16
28.682,-90.64,2024-10-16
29.033,-92.3705,2024-10-22
29.008,-92.559,2024-10-22
29.197,-92.829,2024-10-22
29.396,-92.6115,2024-10-23
29.5335,-92.724,2024-10-23
29.3275,-92.969,2024-10-23
29.242,-93.1005,2024-10-23
29.571,-93.0745,2024-10-23
29.649,-93.1805,2024-10-23
29.596,-93.253,2024-10-23
29.3745,-93.2745,2024-10-23
29.2225,-93.269,2024-10-23
29.1005,-93.183,2024-10-24
28.9095,-92.8495,2024-10-24
28.785,-92.787,2024-10-24
28.814,-92.6485,2024-10-24
28.5785,-92.38,2024-10-24
28.5405,-92.2705,2024-10-24
30.126,-87.731,2024-10-01
30.1555,-87.495,2024-10-01
30.3365,-86.8915,2024-10-01
30.3085,-86.622,2024-10-01
30.1735,-86.4555,2024-10-01
30.021,-86.2825,2024-10-02
30.047,-86.134,2024-10-02
30.0165,-85.8125,2024-10-02
29.7995,-85.5845,2024-10-02
29.664,-85.632,2024-10-02
29.463,-85.396,2024-10-02
29.5325,-85.2035,2024-10-02
29.435,-85.1645,2024-10-02
29.394,-85.0215,2024-10-02
29.5825,-84.8925,2024-10-03
29.6895,-84.4835,2024-10-03
29.689,-84.363,2024-10-03
29.721,-84.1575,2024-10-03
29.534,-84.225,2024-10-03
29.4055,-84.055,2024-10-03
29.3785,-84.2145,2024-10-03
29.5035,-84.386,2024-10-03
29.4525,-84.4865,2024-10-03
29.1655,-84.276,2024-10-03
